P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ235149.1,OZ375330.1,PX442285.1,195,62,31,0.000000000000,0,-18.3036,0.00000,3.933591e-10,70180,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PV294984.1,199,59,27,0.000000000000,0,-15.9768,0.00000,8.348697e-08,70179,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ305775.1,195,54,21,0.000000000001,0,-12.0216,0.00075,7.527459e-04,68407,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ305787.1,193,53,21,0.000000000001,0,-12.1475,0.00056,5.634281e-04,69108,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ305804.1,194,56,21,0.000000000003,0,-11.5773,0.00209,2.092311e-03,68838,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ221885.1,182,55,21,0.000000000005,0,-11.2641,0.00430,4.299149e-03,67526,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ221906.1,190,55,21,0.000000000002,0,-11.6089,0.00195,1.945605e-03,68455,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ220057.1,194,56,21,0.000000000003,0,-11.5773,0.00209,2.092311e-03,68763,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ178862.2,199,59,27,0.000000000000,0,-15.9768,0.00000,8.348697e-08,70182,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,OZ462706.1,193,59,31,0.000000000000,0,-19.0915,0.00000,6.410401e-11,67681,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,OZ412551.1,195,62,31,0.000000000000,0,-18.3036,0.00000,3.933591e-10,70108,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,OZ254463.1,173,55,25,0.000000000000,0,-13.9617,0.00001,8.644146e-06,66169,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,OZ254473.1,183,59,27,0.000000000000,0,-15.1086,0.00000,6.162985e-07,68288,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PZ390103.1,196,62,31,0.000000000000,0,-18.3645,0.00000,3.419323e-10,70182,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ662929.1,199,59,27,0.000000000000,0,-15.9768,0.00000,8.348697e-08,70151,93420-94448 & 166985-167574
OZ235149.1,OZ375330.1,PQ305785.1,195,55,21,0.000000000002,0,-11.8177,0.00120,1.203414e-03,69129,93420-94448 & 166985-167574
