P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
PQ221490.1,OZ375330.1,OZ412552.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37169,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ254313.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37213,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ389617.1,195,56,24,0.000000000000,0,-14.0239,0.00001,7.490662e-06,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ254274.1,185,53,20,0.000000000010,0,-11.0175,0.00757,7.573054e-03,35556,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ474762.1,194,54,24,0.000000000000,0,-14.4586,0.00000,2.752848e-06,37190,124956-126134 & 165166-165403
PQ221765.1,OZ375330.1,PZ123393.1,197,63,21,0.000000000038,0,-10.4246,0.02933,2.933497e-02,31800,124956-126839 & 161980-162241,124956-126839 & 164733-165403
PQ221490.1,OZ375330.1,PZ346334.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PZ346337.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PZ346336.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PZ346333.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PZ390103.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PX488349.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PV844899.1,196,55,22,0.000000000000,0,-12.6606,0.00017,1.729163e-04,37121,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PV849428.1,195,56,24,0.000000000000,0,-14.0239,0.00001,7.490662e-06,37238,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PV294984.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37239,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PV448277.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PV394719.1,198,53,20,0.000000000003,0,-11.5369,0.00230,2.296191e-03,37239,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PQ963869.1,195,56,24,0.000000000000,0,-14.0239,0.00001,7.490662e-06,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PV002568.1,196,54,20,0.000000000005,0,-11.2632,0.00431,4.308264e-03,37226,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PQ352021.1,185,50,19,0.000000000015,0,-10.8197,0.01192,1.191526e-02,34985,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PQ499044.2,196,55,22,0.000000000000,0,-12.6606,0.00017,1.729163e-04,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PQ628240.1,191,54,20,0.000000000009,0,-11.0655,0.00678,6.783053e-03,37239,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PQ662929.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37219,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PQ178862.2,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ462706.1,191,52,24,0.000000000000,0,-14.8221,0.00000,1.192235e-06,35326,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ462771.1,164,54,24,0.000000000000,0,-12.9183,0.00010,9.551943e-05,36425,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ462776.1,169,55,24,0.000000000000,0,-12.9488,0.00009,8.904515e-05,37215,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ474844.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ413597.1,191,52,24,0.000000000000,0,-14.8221,0.00000,1.192235e-06,36009,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ414391.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ414393.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ254900.1,183,48,18,0.000000000047,0,-10.3285,0.03647,3.646774e-02,35168,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ244989.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ245036.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PZ390101.1,195,56,24,0.000000000000,0,-14.0239,0.00001,7.490662e-06,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,PZ390102.1,195,56,24,0.000000000000,0,-14.0239,0.00001,7.490662e-06,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ453692.1,192,58,23,0.000000000000,0,-12.6369,0.00018,1.826118e-04,37066,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ412016.1,197,54,20,0.000000000005,0,-11.3022,0.00394,3.939216e-03,37242,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ412551.1,194,57,24,0.000000000000,0,-13.7441,0.00001,1.426657e-05,37168,124956-126134 & 165166-165403
PQ221490.1,OZ375330.1,OZ254482.1,193,54,20,0.000000000007,0,-11.1452,0.00565,5.649901e-03,36815,124956-126134 & 165166-165403
