P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ235149.1,OZ375330.1,PX488349.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254473.1,184,63,24,0.000000000001,0,-11.9712,0.00085,8.452860e-04,66618,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254330.1,187,65,24,0.000000000002,0,-11.7258,0.00149,1.487099e-03,66613,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,OZ254387.1,193,63,24,0.000000000000,0,-12.4086,0.00031,3.088754e-04,66293,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PV849428.1,195,56,25,0.000000000000,0,-14.8559,0.00000,1.102779e-06,34086,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,PV294984.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68512,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PV448277.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ261139.1,OZ375330.1,PV394719.1,202,71,25,0.000000000001,0,-12.0170,0.00076,7.607458e-04,59076,93420-100851 & 161993-162241,93420-100851 & 164720-165403
OZ235149.1,OZ375330.1,PQ963869.1,196,67,28,0.000000000000,0,-14.6732,0.00000,1.679804e-06,68515,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PV002568.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68489,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,PQ352021.1,184,50,20,0.000000000003,0,-11.5931,0.00202,2.018018e-03,32347,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,PQ499044.2,196,55,23,0.000000000000,0,-13.4772,0.00003,2.637682e-05,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,PQ628240.1,192,65,24,0.000000000001,0,-11.9672,0.00085,8.531794e-04,68512,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235149.1,OZ375330.1,PQ662929.1,198,65,24,0.000000000001,0,-12.2495,0.00045,4.455153e-04,68484,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,OZ474765.1,194,56,25,0.000000000000,0,-14.8065,0.00000,1.235741e-06,34053,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235154.1,OZ375330.1,OZ474842.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,OZ413597.1,192,64,27,0.000000000000,0,-14.3876,0.00000,3.241875e-06,66630,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ235154.1,OZ375330.1,OZ414391.1,194,57,25,0.000000000000,0,-14.5607,0.00000,2.176253e-06,34090,124956-126134 & 161993-162241,124956-126134 & 164720-165403
OZ235149.1,OZ375330.1,OZ254479.1,180,62,24,0.000000000001,0,-11.9732,0.00084,8.414267e-04,65831,93420-94404 & 165142-165403,93420-94404 & 166629-167574
OZ261139.1,OZ375330.1,OZ254482.1,198,70,25,0.000000000001,0,-12.0093,0.00077,7.744079e-04,58738,93420-100851 & 161993-162241,93420-100851 & 164720-165403
OZ235149.1,OZ375330.1,OZ254487.1,191,63,24,0.000000000000,0,-12.3130,0.00038,3.848747e-04,66326,93420-94404 & 165142-165403,93420-94404 & 166629-167574
