P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
PQ221498.1,OZ375330.1,PX480710.1,198,58,22,0.000000000001,0,-12.1255,0.00059,5.925893e-04,31576,124502-124750 & 161980-162241,124956-126839 & 161980-162241
OZ235142.1,OZ375330.1,PX488349.1,206,55,19,0.000000000022,0,-10.6607,0.01714,1.713868e-02,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PV844899.1,205,56,21,0.000000000001,0,-12.0216,0.00075,7.528163e-04,37085,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ462706.1,202,54,23,0.000000000000,0,-13.9746,0.00001,8.391911e-06,35292,124956-126134 & 165204-165915
PQ221498.1,OZ375330.1,OZ474764.1,206,57,23,0.000000000000,0,-13.4733,0.00003,2.661558e-05,33331,124502-124750 & 161980-162241,124956-126839 & 161980-162241
OZ235142.1,OZ375330.1,OZ389617.1,204,57,23,0.000000000000,0,-13.3868,0.00003,3.247748e-05,37206,124956-126134 & 165204-165915
OZ235149.1,OZ375330.1,OZ254900.1,192,47,18,0.000000000014,0,-10.8572,0.01094,1.093614e-02,62443,93217-94404 & 161980-162241,93217-94404 & 164733-165915
PQ221581.1,OZ375330.1,OZ245035.1,210,51,18,0.000000000020,0,-10.7084,0.01537,1.536879e-02,33337,124956-126839 & 161980-162241
OZ235142.1,OZ375330.1,OZ245037.1,206,55,19,0.000000000022,0,-10.6607,0.01714,1.713868e-02,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PV294984.1,206,55,19,0.000000000022,0,-10.6607,0.01714,1.713868e-02,37203,124956-126134 & 165204-165915
PQ221581.1,OZ375330.1,PQ305808.1,196,49,18,0.000000000025,0,-10.6061,0.01941,1.941181e-02,32156,124956-126839 & 161980-162241
PQ221498.1,OZ375330.1,OZ474763.1,206,57,23,0.000000000000,0,-13.4733,0.00003,2.661558e-05,33332,124502-124750 & 161980-162241,124956-126839 & 161980-162241
OZ235142.1,OZ375330.1,OZ254398.1,204,55,19,0.000000000026,0,-10.5897,0.02015,2.015062e-02,37142,124956-126134 & 165204-165915
PQ221498.1,OZ375330.1,OZ474765.1,206,57,23,0.000000000000,0,-13.4733,0.00003,2.661558e-05,33332,124502-124750 & 161980-162241,124956-126839 & 161980-162241
OZ235142.1,OZ375330.1,OZ334403.1,203,58,23,0.000000000000,0,-13.1288,0.00006,5.883757e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ413597.1,202,54,23,0.000000000000,0,-13.9746,0.00001,8.391911e-06,35977,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ254313.1,205,55,19,0.000000000024,0,-10.6253,0.01858,1.858091e-02,37177,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ462771.1,180,57,23,0.000000000001,0,-12.2837,0.00041,4.117942e-04,36391,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ412552.1,202,58,23,0.000000000000,0,-13.0851,0.00007,6.506438e-05,37137,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PZ346334.1,203,58,23,0.000000000000,0,-13.1288,0.00006,5.883757e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PQ963869.1,204,57,23,0.000000000000,0,-13.3868,0.00003,3.247748e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PV002568.1,205,55,19,0.000000000024,0,-10.6253,0.01858,1.858091e-02,37190,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ470124.1,187,53,23,0.000000000000,0,-13.5283,0.00002,2.344912e-05,34612,124956-126134 & 165204-165915
OZ254666.1,OZ375330.1,OZ254302.1,191,52,19,0.000000000022,0,-10.6617,0.01710,1.710128e-02,57230,93217-99046 & 161980-162241
OZ235142.1,OZ375330.1,PZ346337.1,206,55,19,0.000000000022,0,-10.6607,0.01714,1.713868e-02,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ414391.1,203,58,23,0.000000000000,0,-13.1288,0.00006,5.883757e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PZ390103.1,203,58,23,0.000000000000,0,-13.1288,0.00006,5.883757e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PV849428.1,204,57,23,0.000000000000,0,-13.3868,0.00003,3.247748e-05,37202,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PQ628240.1,203,55,19,0.000000000028,0,-10.5540,0.02186,2.185952e-02,37203,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ462776.1,183,58,23,0.000000000001,0,-12.2147,0.00048,4.825975e-04,37179,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ474842.1,203,58,23,0.000000000000,0,-13.1288,0.00006,5.883757e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ461705.1,205,55,19,0.000000000024,0,-10.6253,0.01858,1.858091e-02,37160,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ370097.1,206,55,19,0.000000000022,0,-10.6607,0.01714,1.713868e-02,37200,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PX442285.1,202,58,23,0.000000000000,0,-13.0851,0.00007,6.506438e-05,37203,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PQ499044.2,205,56,21,0.000000000001,0,-12.0216,0.00075,7.528163e-04,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,PQ178862.2,206,55,19,0.000000000022,0,-10.6607,0.01714,1.713868e-02,37206,124956-126134 & 165204-165915
PQ221498.1,OZ375330.1,OZ474762.1,206,57,23,0.000000000000,0,-13.4733,0.00003,2.661558e-05,33319,124502-124750 & 161980-162241,124956-126839 & 161980-162241
OZ235142.1,OZ375330.1,OZ474840.1,203,58,23,0.000000000000,0,-13.1288,0.00006,5.883757e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ474843.1,203,58,23,0.000000000000,0,-13.1288,0.00006,5.883757e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ474844.1,203,58,23,0.000000000000,0,-13.1288,0.00006,5.883757e-05,37206,124956-126134 & 165204-165915
OZ235142.1,OZ375330.1,OZ453692.1,201,60,23,0.000000000000,0,-12.6265,0.00019,1.870321e-04,37034,124956-126134 & 165204-165915
