P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ254290.1,OZ375330.1,PQ305776.1,204,56,19,0.000000000038,0,-10.4146,0.03001,3.000644e-02,29407,124956-127762 & 159266-161995
OZ254290.1,OZ375330.1,PQ305787.1,201,56,19,0.000000000049,0,-10.3070,0.03828,3.827915e-02,29546,124956-127762 & 159499-161995
OZ254290.1,OZ375330.1,PQ305791.1,203,57,20,0.000000000011,0,-10.9710,0.00843,8.426207e-03,29891,124956-127762 & 159499-161995
OZ254290.1,OZ375330.1,PQ305797.1,200,57,20,0.000000000014,0,-10.8570,0.01094,1.094121e-02,29957,124956-127762 & 159499-161995
OZ254290.1,OZ375330.1,PP601218.1,208,60,20,0.000000000023,0,-10.6324,0.01828,1.828136e-02,29965,124956-127762 & 159499-161995
OZ254290.1,OZ375330.1,PP601219.1,208,60,20,0.000000000023,0,-10.6324,0.01828,1.828136e-02,29965,124956-127762 & 159499-161995
OZ254290.1,OZ375330.1,OZ414393.1,201,66,27,0.000000000000,0,-14.4102,0.00000,3.077722e-06,32440,124956-127762 & 161993-162241
OZ254603.1,OZ375330.1,OZ254448.1,190,57,21,0.000000000006,0,-11.2157,0.00481,4.805004e-03,29314,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254463.1,179,50,19,0.000000000026,0,-10.5811,0.02055,2.055180e-02,27813,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254473.1,191,53,20,0.000000000005,0,-11.2613,0.00433,4.327108e-03,29839,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254479.1,188,53,20,0.000000000007,0,-11.1403,0.00571,5.713337e-03,29165,124956-127762 & 161993-162241
OZ254290.1,OZ375330.1,OZ254482.1,200,62,23,0.000000000001,0,-12.1855,0.00052,5.161744e-04,32251,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254487.1,199,53,20,0.000000000003,0,-11.5756,0.00210,2.100935e-03,29568,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254490.1,191,53,20,0.000000000005,0,-11.2613,0.00433,4.327108e-03,29178,124956-127762 & 161993-162241
OZ254603.1,OZ375330.1,OZ254492.1,192,56,21,0.000000000003,0,-11.4941,0.00253,2.533888e-03,29515,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254496.1,191,53,20,0.000000000005,0,-11.2613,0.00433,4.327108e-03,29826,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254497.1,190,53,20,0.000000000006,0,-11.2212,0.00475,4.745065e-03,29672,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254499.1,194,53,20,0.000000000004,0,-11.3805,0.00329,3.289811e-03,29837,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254506.1,192,53,20,0.000000000005,0,-11.3012,0.00395,3.947649e-03,29837,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254507.1,189,52,20,0.000000000004,0,-11.3814,0.00328,3.283311e-03,29091,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254531.1,193,53,20,0.000000000005,0,-11.3410,0.00360,3.602991e-03,29829,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254587.1,191,51,20,0.000000000002,0,-11.6677,0.00170,1.699680e-03,29680,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254596.1,191,52,20,0.000000000003,0,-11.4619,0.00273,2.728383e-03,29708,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254619.1,191,52,20,0.000000000003,0,-11.4619,0.00273,2.728383e-03,29728,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254628.1,191,53,20,0.000000000005,0,-11.2613,0.00433,4.327108e-03,29845,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254642.1,191,53,20,0.000000000005,0,-11.2613,0.00433,4.327108e-03,29738,124956-127762 & 161993-162241
OZ254192.1,OZ375330.1,OZ254643.1,191,53,20,0.000000000005,0,-11.2613,0.00433,4.327108e-03,29832,124956-127762 & 161993-162241
